Station Vel_N(mm/yr) Vel_E(mm/yr) Vel_U(mm/yr) Dur_N Dur_E Dur_U Vel_N_midas(mm/yr) Vel_E_midas(mm/yr) Vel_U_midas(mm/yr) Latitude(deg) Longitude(deg) Height(m) diff_N(mm/yr) diff_E(mm/yr) diff_U(mm/yr)
MABZ 15.6 20.3 0.9 7.48 9.56 17.65 16.3 20.4 1.7 46.686 -349.449 1092.1 -0.7 -0.1 -0.8
MAC1 31.1 -12.8 -0.9 20.61 17.40 14.14 32.7 -12.1 -1.4 -54.500 -201.064 -6.8 -1.6 -0.7 0.5
MACC -0.7 -14.4 0.7 25.88 25.88 13.68 -0.6 -14.5 -0.6 37.845 -90.485 220.0 -0.1 0.1 1.3
MACE 18.5 23.3 -1.4 6.44 6.59 6.59 18.4 23.2 -1.4 43.294 -346.549 307.1 0.1 0.1 0.0
MACG -11.0 8.8 -0.7 7.82 7.82 7.82 -10.6 7.4 -1.2 -77.533 -192.753 3279.3 -0.4 1.4 0.5
MACH 16.6 17.7 -0.3 14.81 14.81 17.81 16.6 18.1 -0.8 46.978 -1.803 64.6 -0.0 -0.4 0.5
MACI 31.2 -13.6 -1.6 9.68 9.68 9.68 32.4 -12.9 -3.2 -54.500 -201.064 -6.9 -1.2 -0.7 1.6
MACK 53.7 19.7 -0.4 8.37 14.79 7.62 53.8 19.5 -0.5 -30.710 -207.082 43.3 -0.1 0.2 0.1
MACM 6.7 -15.1 -1.6 6.53 6.53 6.53 6.7 -15.0 -1.7 41.691 -69.967 -14.2 0.0 -0.1 0.1
MACO -0.5 -15.1 2.6 6.12 6.14 8.35 -1.1 -14.9 2.3 38.813 -89.958 150.9 0.6 -0.2 0.3
MACY 16.6 16.1 -0.2 16.64 19.81 19.81 16.4 16.1 -0.4 52.589 -3.852 76.7 0.2 -0.0 0.2
MAD0 15.2 11.5 -1.7 7.06 7.06 7.03 15.2 11.7 -1.9 16.015 -61.643 935.9 0.0 -0.2 0.2
MAD1 16.7 18.6 -0.4 5.53 5.53 5.53 16.4 18.7 -0.6 40.407 -3.686 724.4 0.3 -0.1 0.2
MAD2 16.5 18.8 -0.4 25.68 25.68 26.66 16.5 18.8 -0.7 40.429 -4.250 829.4 0.0 -0.0 0.3
MAD4 5.5 -15.3 -1.0 6.27 11.93 11.93 5.6 -15.1 -0.9 41.640 -71.028 5.2 -0.1 -0.2 -0.1
MAD5 2.8 -15.7 1.3 8.88 8.88 8.88 2.7 -16.0 1.8 44.482 -77.471 134.0 0.1 0.3 -0.5
MAD6 2.9 -16.5 0.7 12.10 12.10 12.10 3.0 -16.5 1.4 44.482 -77.471 133.1 -0.1 -0.0 -0.7
MAD7 3.8 -16.6 -0.2 11.31 6.54 11.31 3.0 -16.5 0.5 44.518 -77.466 158.3 0.8 -0.1 -0.7
MADA 16.5 21.4 -1.0 9.91 9.90 17.13 16.3 21.3 -0.8 43.747 -349.634 56.9 0.2 0.1 -0.2
MADO 12.8 20.5 0.7 9.47 9.47 9.47 12.8 20.5 1.1 56.853 -333.779 174.2 0.0 0.0 -0.4
MADR 16.4 17.5 -0.7 11.77 13.31 13.31 16.5 19.0 -0.6 40.429 -4.250 829.4 -0.1 -1.5 -0.1
MAF1 5.9 -15.1 -1.5 6.26 11.93 11.93 5.9 -15.2 -0.8 41.620 -70.541 -2.7 -0.0 0.1 -0.7
MAFA 15.9 18.4 0.6 9.81 21.08 21.08 15.8 18.3 -0.3 50.237 -354.703 287.2 0.1 0.1 0.9
MAFB 8.5 -15.6 1.2 5.72 5.72 5.72 8.0 -15.4 1.1 42.574 -71.793 130.8 0.5 -0.2 0.1
MAFF 56.4 18.4 -1.8 12.65 12.65 5.28 56.2 18.7 -2.3 -37.972 -213.015 42.6 0.2 -0.3 0.5
MAFO 5.6 -15.1 0.7 4.90 4.90 4.90 5.4 -15.4 0.8 42.064 -71.249 65.6 0.2 0.3 -0.1
MAG0 -16.8 9.2 2.0 10.90 10.90 10.90 -17.7 9.7 0.9 59.576 -209.230 361.8 0.9 -0.5 1.1
MAG1 -16.5 11.5 2.4 6.34 6.34 6.34 -16.4 11.4 2.3 59.577 -209.190 74.0 -0.1 0.1 0.1
MAG2 15.4 11.9 -0.4 9.97 9.96 9.97 16.0 11.8 0.9 15.890 -61.306 22.1 -0.6 0.1 -1.3
MAG3 16.2 20.4 0.4 19.30 19.30 19.30 16.0 20.3 0.1 45.775 -349.371 1311.6 0.2 0.1 0.3
MAGB 15.4 18.7 -0.3 15.79 15.79 15.79 15.5 19.0 -0.1 52.130 -348.370 127.5 -0.1 -0.3 -0.2
MAGC 16.1 19.3 -0.9 8.17 8.17 8.17 16.0 19.4 -0.7 45.791 -357.115 861.8 0.1 -0.1 -0.2
MAGJ -15.7 12.5 1.9 11.00 8.24 6.38 -15.9 12.5 0.8 59.578 -209.190 73.6 0.2 0.0 1.1
MAGO 4.7 -16.2 1.6 11.59 11.59 11.60 4.7 -16.1 1.9 45.266 -72.146 201.3 -0.0 -0.1 -0.3
MAGR 16.2 18.9 -0.3 10.00 10.00 10.00 16.1 18.7 -0.6 48.187 -356.678 144.4 0.1 0.2 0.3
MAGT 15.3 12.4 -1.0 6.08 6.08 6.08 14.8 12.0 -1.3 15.884 -61.314 -27.8 0.5 0.4 0.3
MAGU 12.6 22.4 -2.8 6.38 6.38 6.38 12.4 22.1 -2.0 44.348 -333.972 118.2 0.2 0.3 -0.8
MAHA 44.3 -3.2 0.7 8.79 8.68 8.55 42.5 -5.1 -0.0 -41.291 -186.206 442.0 1.8 1.9 0.7
MAHI 18.1 -2.7 0.4 18.07 18.07 9.77 16.2 -1.6 1.0 -39.153 -182.093 322.4 1.9 -1.1 -0.6
MAHO 39.2 1.3 -1.7 12.85 21.57 14.58 39.8 1.2 -1.5 -38.513 -185.146 302.5 -0.6 0.1 -0.2
MAHV 6.1 -15.4 -1.3 6.75 8.68 8.68 6.0 -15.1 -1.5 42.108 -70.811 -11.0 0.1 -0.3 0.2
MAID 16.3 17.4 0.4 5.86 5.86 5.86 16.1 17.4 -0.5 51.273 -359.487 90.3 0.2 0.0 0.9
MAIG 11.8 17.2 -0.5 7.94 10.11 10.11 11.6 17.2 -0.3 -21.080 -304.617 2165.3 0.2 0.0 -0.2
MAIN 58.9 34.9 -0.4 13.53 9.31 13.53 59.0 35.0 0.3 -14.046 -225.907 162.3 -0.1 -0.1 -0.7
MAIR -0.1 -14.2 -0.2 20.98 13.81 25.51 -0.1 -14.3 -1.0 36.847 -89.357 67.4 0.0 0.1 0.8
MAIS 16.2 17.4 -0.7 11.09 11.08 11.09 16.2 17.4 -0.2 51.304 -359.517 54.4 0.0 0.0 -0.5
MAIT 58.8 26.0 -1.2 6.61 6.61 6.61 58.7 25.9 -1.1 -34.374 -222.326 192.7 0.1 0.1 -0.1
MAJB 30.6 -69.0 -0.1 10.13 10.72 18.25 30.4 -68.7 -0.0 7.119 -188.635 33.7 0.2 -0.3 -0.1
MAJK 14.3 -2.5 -0.2 5.09 5.48 6.52 15.1 -0.3 0.2 -81.661 -21.874 1447.0 -0.8 -2.2 -0.4
MAKK 16.2 17.5 -0.8 17.94 17.94 17.94 16.1 17.6 -0.6 53.060 -354.603 59.4 0.1 -0.1 -0.2
MAKO 21.6 -1.9 -0.3 5.68 14.80 14.80 22.5 -11.1 -0.7 -38.644 -181.871 255.0 -0.9 9.2 0.4
MAKS 15.9 19.6 0.0 18.31 18.31 18.31 15.8 19.5 -0.1 47.923 -352.968 1237.2 0.1 0.1 0.1
MAL1 14.2 20.6 -3.2 9.80 9.80 6.80 14.2 20.5 -1.5 39.560 -357.363 53.8 0.0 0.1 -1.7
MAL2 15.9 26.4 -0.3 12.25 12.31 17.12 16.0 26.2 0.2 -2.996 -319.806 -20.9 -0.1 0.2 -0.5
MAL3 11.9 24.1 -1.7 8.21 8.21 4.36 11.4 23.2 1.1 40.707 -339.302 878.5 0.5 0.9 -2.8
MAL4 0.8 -16.1 7.4 5.66 8.75 8.75 3.4 -16.2 7.3 48.113 -78.131 329.5 -2.6 0.1 0.1
MALA 15.3 17.2 -0.4 25.30 25.30 14.79 15.1 17.5 -0.3 36.726 -4.394 119.8 0.2 -0.3 -0.1
MALI 15.8 27.1 -2.4 9.69 9.69 9.69 16.1 26.4 -2.4 -2.996 -319.806 -23.3 -0.3 0.7 -0.0
MALL 16.4 20.5 -0.7 16.61 16.55 13.50 16.4 20.2 -0.3 39.553 -357.375 62.0 -0.0 0.3 -0.3
MALM 19.0 17.1 -0.6 11.92 15.47 15.49 18.9 17.0 -1.1 -33.464 -341.269 160.4 0.1 0.1 0.5
MALN 18.7 23.2 0.1 14.55 14.54 14.55 18.8 23.0 0.5 40.286 -343.683 225.1 -0.1 0.2 -0.4
MALO 14.1 48.3 -1.6 7.43 7.43 6.36 14.2 48.0 -1.4 4.003 -81.606 132.4 -0.1 0.3 -0.2
MALP -8.4 -14.3 0.1 8.60 8.60 8.60 -8.2 -14.4 0.3 34.390 -113.122 649.9 -0.2 0.1 -0.2
MALT 19.6 21.4 -1.0 10.14 10.14 10.14 19.5 21.4 -1.2 35.838 -345.474 72.4 0.1 -0.0 0.2
MALU -6.0 -12.4 -12.5 6.29 4.03 4.64 -9.3 -57.4 -21.4 19.368 -155.201 1070.7 3.3 45.0 8.9
MALX 16.8 13.6 0.5 8.76 9.85 9.85 16.8 13.9 0.0 57.006 -5.828 68.5 0.0 -0.3 0.5
MALY 21.6 12.0 -1.2 6.79 6.79 6.79 21.6 12.3 -2.2 38.338 -321.783 985.9 0.0 -0.3 1.0
MAME 14.6 16.5 6.6 9.93 9.94 5.53 15.0 17.0 5.8 50.963 -354.304 105.7 -0.4 -0.5 0.8
MAMI 5.6 -15.3 -0.3 11.44 11.44 11.44 5.6 -15.4 -0.0 42.272 -71.049 -18.7 -0.0 0.1 -0.3
MAMR 54.2 23.6 -0.7 11.95 11.95 11.95 54.2 22.8 -1.5 -23.726 -209.295 86.5 0.0 0.8 0.8
MAN2 16.5 18.0 -1.2 26.65 26.65 17.53 16.4 18.1 -0.4 48.019 -359.845 168.0 0.1 -0.1 -0.8
MAN4 6.5 -15.3 -1.7 5.97 5.97 5.97 6.3 -15.3 -1.5 41.269 -70.084 -16.8 0.2 0.0 -0.2
MANA 11.0 7.0 -3.3 12.90 20.81 13.54 10.3 7.7 -1.9 12.149 -86.249 71.0 0.7 -0.7 -1.4
MANE -19.0 -38.6 -4.2 10.04 15.89 14.96 -7.6 -42.4 -0.8 19.339 -155.273 996.5 -11.4 3.8 -3.4
MANG 32.4 -21.7 -0.5 11.79 8.78 20.54 33.7 -20.7 -2.6 -40.669 -184.425 418.0 -1.3 -1.0 2.1
MANI -7.8 -15.4 0.2 5.91 5.96 5.93 -7.8 -14.7 -0.6 40.996 -109.718 1948.1 0.0 -0.7 0.8
MANM 17.5 19.3 0.6 8.54 8.50 8.79 17.3 19.3 0.8 37.542 -288.320 2304.4 0.2 -0.0 -0.2
MANN 15.5 19.3 -1.1 6.94 12.04 12.04 15.8 19.3 -1.2 49.565 -351.575 140.9 -0.3 -0.0 0.1
MANO -4.4 -16.7 -1.6 13.74 18.15 13.73 -4.4 -16.9 -1.9 47.312 -95.966 351.7 0.0 0.2 0.3
MANR 16.2 16.1 -0.3 11.53 11.53 11.52 16.2 16.1 -0.2 53.512 -2.235 130.2 -0.0 -0.0 -0.1
MANT 17.0 21.2 -0.0 6.61 6.61 6.29 16.6 21.0 -1.8 45.160 -349.211 78.6 0.4 0.2 1.8
MANY 60.8 21.5 -4.0 12.64 9.75 6.74 61.0 21.4 -4.3 -35.049 -218.938 85.0 -0.2 0.1 0.3
MAO0 34.1 -62.1 -1.2 11.57 11.57 11.57 34.3 -62.4 -1.6 20.707 -156.257 3060.9 -0.2 0.3 0.4
MAO1 -0.4 -16.0 -3.0 11.14 16.38 11.14 -0.5 -16.0 -2.7 43.037 -89.410 247.6 0.1 -0.0 -0.3
MAON 15.8 20.8 -0.5 15.69 15.69 15.69 15.9 20.7 -0.3 42.428 -348.869 228.4 -0.1 0.1 -0.2
MAOR 6.4 -15.3 -0.6 8.54 16.91 16.91 6.1 -15.2 -0.7 41.776 -70.007 -12.2 0.3 -0.1 0.1
MAPA 12.6 -4.5 0.7 11.28 5.74 11.13 12.7 -4.2 0.9 0.047 -51.097 -4.2 -0.1 -0.3 -0.2
MAPI 4.7 -15.8 1.3 8.34 8.43 8.42 4.9 -15.8 0.3 42.453 -73.201 290.9 -0.2 0.0 1.0
MAPL 6.1 -15.2 -1.5 11.95 11.95 11.95 5.7 -15.2 -1.0 41.939 -70.655 10.5 0.4 0.0 -0.5
MAPS -22.8 -7.8 3.2 13.11 13.11 13.11 -23.6 -8.9 4.5 53.808 -166.940 331.8 0.8 1.1 -1.3
MAPY 5.8 -15.4 -0.6 8.14 8.14 7.89 5.8 -15.5 -0.5 41.951 -70.711 19.0 0.0 0.1 -0.1
MAR1 2.2 -13.6 -0.9 22.59 22.89 22.58 2.3 -13.8 -1.6 35.654 -81.954 365.7 -0.1 0.2 0.7
MAR3 16.1 19.7 0.2 18.25 16.04 16.02 16.3 19.6 0.2 46.084 -353.489 524.2 -0.2 0.1 -0.0
MAR5 15.3 17.0 -0.5 16.16 10.45 21.10 15.5 16.5 -0.8 50.090 -355.489 210.3 -0.2 0.5 0.3
MAR6 14.1 17.9 7.7 26.64 26.64 26.64 14.1 17.8 7.8 60.595 -342.741 75.5 0.0 0.1 -0.1
MAR7 14.1 18.1 8.8 10.05 10.04 10.04 14.1 18.0 8.1 60.595 -342.742 74.4 0.0 0.1 0.7
MAR8 16.5 22.1 0.6 6.51 6.51 6.51 16.8 21.6 1.7 41.771 -347.334 446.4 -0.3 0.5 -1.1
MARB -8.2 -14.4 -0.8 8.08 8.08 8.08 -8.2 -14.4 -0.8 36.450 -111.780 1691.8 -0.0 0.0 -0.0
MARD 25.1 20.0 2.8 6.79 6.79 6.79 25.1 20.3 1.7 37.311 -319.272 1064.2 -0.0 -0.3 1.1
MARE 16.4 20.0 -0.6 14.26 14.26 14.26 16.2 20.2 -0.4 41.528 -357.566 86.8 0.2 -0.2 -0.2
MARG 6.7 -21.7 8.1 17.92 16.05 17.92 6.6 -21.6 8.5 77.187 -65.695 670.6 0.1 -0.1 -0.4
MARJ 15.2 19.7 0.3 9.69 10.49 10.49 15.1 19.8 0.2 50.357 -347.107 904.7 0.1 -0.1 0.1
MARN 11.2 -12.9 19.2 5.69 6.40 5.37 2.5 -1.1 -5.7 -46.876 -322.139 61.9 8.7 -11.8 24.9
MARP 10.2 23.0 -0.3 8.54 8.60 8.60 10.5 23.4 -0.1 47.097 -322.502 96.2 -0.3 -0.4 -0.2
MARR 5.9 -15.4 -0.0 8.19 8.19 8.19 5.8 -15.5 -0.1 42.652 -70.610 5.4 0.1 0.1 0.1
MARS 16.2 20.1 -0.8 13.82 12.84 13.81 15.8 20.2 -0.8 43.279 -354.646 61.8 0.4 -0.1 0.0
MART 17.0 17.6 -1.7 16.32 10.52 16.30 16.8 17.3 -1.4 51.392 -358.617 58.3 0.2 0.3 -0.3
MARY 57.2 20.3 -0.8 12.66 12.66 6.97 57.0 20.4 -0.7 -37.005 -216.240 219.4 0.2 -0.1 -0.1
MAS1 17.3 17.0 -0.8 13.10 13.54 13.09 17.3 16.7 -0.9 27.764 -15.633 197.1 0.0 0.3 0.1
MAS3 5.4 -15.8 -1.0 11.93 11.93 11.93 4.9 -15.7 -0.6 42.140 -73.364 174.4 0.5 -0.1 -0.4
MAS5 19.0 23.6 -33.9 4.72 7.54 6.55 20.0 23.4 -33.9 31.327 -324.599 -375.4 -1.0 0.2 0.0
MAS6 3.5 -14.3 -5.1 9.77 13.32 13.32 3.7 -14.5 -4.4 39.148 -77.636 126.2 -0.2 0.2 -0.7
MASA 6.0 -15.6 -0.2 11.95 11.95 11.95 5.7 -15.5 0.0 42.863 -70.890 -11.5 0.3 -0.1 -0.2
MASB 5.3 -15.4 -0.8 6.31 6.26 11.61 5.2 -15.3 -0.2 42.111 -72.087 158.3 0.0 -0.1 -0.6
MASG 5.2 -15.3 0.7 9.28 9.28 9.28 5.2 -15.2 0.4 42.110 -72.577 47.3 -0.0 -0.1 0.3
MASI 16.0 21.4 -0.7 7.15 7.15 7.27 16.0 21.2 -0.4 40.269 -351.230 637.8 -0.0 0.2 -0.3
MASP 17.3 16.6 3.3 6.27 6.27 6.27 17.0 16.6 -0.4 27.764 -15.633 198.8 0.3 0.0 3.7
MASS 16.2 17.9 -0.1 8.50 13.71 8.85 16.2 18.2 -0.6 47.154 -358.004 176.2 -0.0 -0.3 0.5
MAST 29.1 -27.2 -3.2 13.25 13.25 13.25 28.9 -26.9 -3.9 -41.062 -184.415 207.2 0.2 -0.3 0.7
MASW 18.0 -35.2 1.3 18.77 17.32 10.13 17.9 -35.1 2.0 35.833 -120.443 713.7 0.1 -0.1 -0.7
MAT0 -0.7 -16.7 -1.2 11.59 11.59 11.59 -0.7 -16.7 -1.5 45.070 -87.628 155.2 0.0 0.0 0.3
MAT1 18.9 23.8 0.3 24.29 24.29 24.29 19.1 23.7 -0.0 40.649 -343.295 534.5 -0.2 0.1 0.3
MAT2 14.2 -35.0 0.2 15.97 20.18 14.35 14.3 -34.8 0.1 33.857 -117.437 398.3 -0.1 -0.2 0.1
MAT3 -12.4 31.8 0.1 9.77 9.77 9.77 -12.2 31.6 -0.5 26.169 -240.077 110.2 -0.2 0.2 0.6
MAT5 16.5 19.1 0.1 7.17 7.17 7.14 16.4 19.2 -0.5 41.540 -357.571 123.6 0.1 -0.1 0.6
MATC 16.3 19.0 -0.7 10.00 10.00 10.00 16.3 18.9 -0.9 46.289 -358.395 392.3 0.0 0.1 0.2
MATE 19.2 23.5 0.1 18.58 26.64 26.64 19.2 23.5 0.0 40.649 -343.296 535.7 -0.0 0.0 0.1
MATG 18.9 23.8 0.2 13.53 13.56 13.55 19.3 23.7 -0.1 40.649 -343.295 535.7 -0.4 0.1 0.3
MATJ 18.9 16.6 -0.8 7.60 7.59 6.49 19.1 16.9 0.2 -33.267 -339.420 1099.0 -0.2 -0.3 -1.0
MATL 17.2 23.1 0.1 9.44 9.43 9.43 17.1 23.0 -0.7 -9.592 -325.415 2184.1 0.1 0.1 0.8
MATN 5.4 -15.3 -0.5 7.37 7.37 7.37 5.4 -15.4 -0.1 41.909 -71.055 -14.4 0.0 0.1 -0.4
MATQ 2.6 -17.4 9.7 7.21 7.21 7.21 2.6 -17.3 9.9 49.759 -77.638 239.9 -0.0 -0.1 -0.2
MATR 16.0 20.3 -0.2 4.72 4.72 4.72 15.8 21.1 0.3 47.127 -348.547 1059.0 0.2 -0.8 -0.5
MATU 6.1 -15.2 -0.8 11.95 11.95 11.95 6.1 -15.1 -1.1 41.981 -70.044 12.1 -0.0 -0.1 0.3
MATW 22.1 3.2 0.5 21.39 16.95 17.01 21.7 2.6 0.3 -38.334 -182.474 646.2 0.4 0.6 0.2
MATZ 19.4 24.0 0.0 6.74 6.74 5.78 19.6 24.1 -0.3 40.649 -343.295 534.5 -0.2 -0.1 0.3
MAU1 15.8 21.4 -0.4 14.73 14.73 14.73 16.1 21.3 -1.0 41.515 -350.985 202.5 -0.3 0.1 0.6
MAUA 18.7 20.0 0.7 13.09 11.78 11.79 18.7 19.8 -0.5 -19.902 -336.472 960.8 0.0 0.2 1.2
MAUI 34.5 -62.1 -0.9 26.66 26.66 26.66 34.2 -62.1 -0.7 20.707 -156.257 3062.1 0.3 0.0 -0.2
MAUL 26.5 -44.3 19.6 8.77 9.91 8.86 25.7 -26.8 16.8 -35.810 -70.821 1184.8 0.8 -17.5 2.8
MAUP 16.2 18.4 -0.6 14.44 14.53 14.53 16.1 18.4 -0.9 48.524 -359.463 309.2 0.1 -0.0 0.3
MAVL 32.8 -29.2 -1.1 14.05 13.63 14.67 33.4 -29.3 -0.9 -45.367 -191.882 592.5 -0.6 0.1 -0.2
MAW1 -2.2 -3.7 -0.3 26.63 24.54 26.63 -2.3 -3.6 0.0 -67.605 -297.129 59.1 0.1 -0.1 -0.3
MAWB 5.8 -15.2 0.1 8.44 8.44 8.44 5.8 -15.2 0.1 42.484 -71.158 8.6 0.0 0.0 0.0
MAWE 5.3 -15.5 -0.3 8.19 8.09 8.19 5.3 -15.5 -0.3 42.252 -71.805 115.8 0.0 0.0 0.0
MAWF 6.1 -16.4 0.1 7.06 5.53 7.06 5.7 -16.5 0.2 42.122 -72.749 21.8 0.4 0.1 -0.1
MAWM 5.4 -15.6 -0.6 11.59 11.59 11.59 5.2 -15.4 -0.1 42.561 -71.933 316.0 0.2 -0.2 -0.5
MAWO 6.4 -14.6 3.8 8.47 5.41 5.45 6.1 -14.5 0.2 42.484 -71.158 8.8 0.3 -0.1 3.6
MAWR 6.0 -15.3 -0.3 4.79 4.79 4.78 5.8 -15.3 -0.1 42.042 -71.304 35.4 0.2 -0.0 -0.2
MAWY -7.9 -14.4 -0.1 26.66 26.66 14.99 -7.7 -14.3 1.2 44.973 -110.689 1824.3 -0.2 -0.1 -1.3
MAYG 9.6 26.8 -2.1 7.10 5.58 4.88 11.8 22.3 -0.9 -12.782 -314.742 -16.5 -2.2 4.5 -1.2
MAYZ 13.3 8.7 -1.2 5.07 5.07 5.07 13.2 9.0 -2.0 18.218 -67.159 -38.6 0.1 -0.3 0.8
MAZA 18.1 19.8 0.6 15.06 17.09 15.04 17.9 19.6 0.8 37.593 -1.310 105.1 0.2 0.2 -0.2
MAZE 16.5 18.5 -0.8 10.53 10.53 10.53 16.5 18.4 -0.9 45.572 -0.592 97.4 0.0 0.1 0.1
MAZK 14.0 20.3 0.6 15.44 10.42 17.74 13.7 20.2 1.0 56.314 -337.691 101.0 0.3 0.1 -0.4
MAZO 17.7 16.2 0.1 10.88 10.87 10.88 17.9 16.1 -0.4 28.606 -17.779 526.2 -0.2 0.1 0.5
MBAR 17.5 25.8 -1.1 24.10 12.53 24.10 17.6 25.1 -0.9 -0.601 -329.262 1337.5 -0.1 0.7 -0.2
MBBC 17.0 19.7 1.4 9.95 5.98 9.95 18.0 20.5 1.2 -11.274 -325.200 522.9 -1.0 -0.8 0.2
MBCH 53.7 20.8 -1.4 6.08 6.08 6.08 53.6 20.9 -1.3 -27.971 -206.572 51.1 0.1 -0.1 -0.1
MBEY 17.3 22.5 0.7 6.13 6.13 6.13 17.4 22.5 -0.3 -8.912 -326.541 1700.5 -0.1 -0.0 1.0
MBFT 18.5 21.2 0.1 6.23 6.23 6.23 18.6 21.1 -0.3 37.946 -347.047 573.7 -0.1 0.1 0.4
MBGP 11.8 9.1 -1.3 4.54 4.54 4.54 11.8 9.7 -0.3 17.936 -66.937 5.5 0.0 -0.6 -1.0
MBH4 54.3 22.4 0.5 6.90 6.90 6.90 53.9 23.1 -0.7 -25.534 -207.294 83.0 0.4 -0.7 1.2
MBIO 9.2 16.4 3.9 12.54 11.70 12.54 8.9 16.6 4.3 -64.240 -56.623 221.5 0.3 -0.2 -0.4
MBRG 18.8 17.1 -0.6 23.42 23.42 16.90 18.6 17.3 -0.5 -25.774 -330.546 1523.9 0.2 -0.2 -0.1
MBWW -6.7 -15.2 -1.0 12.16 12.50 12.50 -6.8 -15.1 -0.5 41.904 -106.187 1986.5 0.1 -0.1 -0.5
MC01 -7.9 -15.1 -0.5 24.81 20.33 24.59 -7.8 -15.1 -0.7 39.091 -108.528 1437.2 -0.1 -0.0 0.2
MC02 -8.9 -13.9 -1.0 22.37 22.37 19.62 -8.5 -14.1 -1.5 39.015 -108.490 1490.4 -0.4 0.2 0.5
MC03 -7.0 -15.6 -1.3 22.65 22.65 19.65 -5.7 -15.5 -1.5 39.190 -108.731 1379.2 -1.3 -0.1 0.2
MC04 -7.1 -14.2 -0.4 19.54 19.53 19.54 -6.9 -14.1 -0.2 38.684 -108.974 1400.9 -0.2 -0.1 -0.2
MC05 -6.3 -14.3 -0.8 14.85 10.74 17.16 -7.1 -14.4 -1.0 38.740 -108.073 1505.0 0.8 0.1 0.2
MC06 -7.2 -15.2 -1.5 19.41 19.42 15.23 -7.7 -15.8 -1.8 39.223 -108.852 1392.5 0.5 0.6 0.3
MC07 -7.8 -16.6 -2.3 5.95 11.36 16.42 -5.7 -16.0 -2.2 39.318 -108.213 1488.2 -2.1 -0.6 -0.1
MC08 -10.0 -16.8 -0.7 19.03 19.03 16.68 -9.6 -16.5 -1.1 39.236 -107.978 1834.9 -0.4 -0.3 0.4
MC09 -6.9 -14.5 -0.7 7.62 16.99 16.00 -7.2 -14.7 -0.5 38.243 -108.558 1793.0 0.3 0.2 -0.2
MC10 -6.5 -14.0 -1.3 15.74 15.47 14.20 -6.7 -14.5 -0.3 38.456 -107.878 1808.6 0.2 0.5 -1.0
MCAD 6.8 -16.2 0.2 14.22 14.22 14.22 6.9 -16.1 0.2 45.594 -67.327 120.8 -0.1 -0.1 -0.0
MCAR -2.3 16.4 2.9 10.54 15.64 15.64 -3.1 16.9 3.5 -76.322 -144.304 964.9 0.8 -0.5 -0.6
MCCM 19.4 -34.8 2.8 8.23 8.23 8.23 19.7 -34.4 -0.1 38.145 -122.880 -3.8 -0.3 -0.4 2.9
MCD5 2.2 -11.3 -1.4 12.45 18.34 12.52 2.0 -11.4 -1.3 27.850 -82.532 -15.7 0.2 0.1 -0.1
MCD6 2.2 -11.4 -1.6 12.48 9.64 12.48 2.1 -11.2 -1.6 27.850 -82.533 -15.7 0.1 -0.2 -0.0
MCEL 19.2 23.0 -0.1 15.56 15.56 19.07 19.1 22.9 0.4 40.326 -344.199 1058.9 0.1 0.1 -0.5
MCES -20.2 -10.8 10.3 8.64 9.37 14.48 -19.8 -10.6 10.1 59.746 -151.258 430.7 -0.4 -0.2 0.2
MCG2 -11.4 9.9 -1.2 4.87 4.87 4.87 -11.6 10.2 -0.0 -77.532 -192.755 3291.0 0.2 -0.3 -1.2
MCHA 16.3 16.1 -0.2 6.37 6.37 6.37 16.1 16.0 -0.2 51.998 -3.000 288.1 0.2 0.1 -0.0
MCHL 55.6 25.0 0.5 9.37 11.39 11.39 55.6 24.6 0.6 -26.359 -211.855 534.6 -0.0 0.4 -0.1
MCHN -5.6 -9.3 0.3 15.55 6.46 12.40 -5.8 -12.8 0.6 47.961 -84.901 152.0 0.2 3.5 -0.3
MCHT 16.5 16.4 -1.4 4.93 6.17 6.17 17.0 15.2 -1.6 52.264 -8.267 185.4 -0.5 1.2 0.2
MCIA 17.0 20.1 -0.4 8.51 8.51 8.51 16.9 19.9 0.2 37.990 -1.123 121.9 0.1 0.2 -0.6
MCIL 25.0 -71.6 -0.5 8.77 14.38 22.70 24.4 -71.5 -0.3 24.290 -206.021 35.7 0.6 -0.1 -0.2
MCIN 17.0 20.5 -0.7 5.26 9.06 9.05 17.0 20.6 0.9 43.058 -348.511 612.9 0.0 -0.1 -1.6
MCKN 57.7 24.7 -0.8 4.46 4.46 4.46 57.7 24.6 -0.9 -35.522 -221.349 34.5 0.0 0.1 0.1
MCL1 17.8 27.2 1.0 12.01 11.93 10.84 18.9 27.8 3.3 -22.746 -70.248 1033.2 -1.1 -0.6 -2.3
MCLA 11.9 -4.1 0.5 9.80 11.96 9.79 12.0 -4.2 1.0 -16.720 -43.881 656.5 -0.1 0.1 -0.5
MCM1 -10.9 -16.9 2.1 11.53 11.53 11.53 -10.5 -17.3 2.1 56.650 -111.220 349.7 -0.4 0.4 0.0
MCM4 -11.4 9.8 0.0 23.10 23.10 20.59 -11.4 9.9 0.0 -77.838 -193.331 98.0 0.0 -0.1 -0.0
MCMD -11.4 9.8 0.1 19.80 19.80 19.80 -11.5 9.9 0.3 -77.838 -193.331 98.0 0.1 -0.1 -0.2
