Station Vel_N(mm/yr) Vel_E(mm/yr) Vel_U(mm/yr) Dur_N Dur_E Dur_U Vel_N_midas(mm/yr) Vel_E_midas(mm/yr) Vel_U_midas(mm/yr) Latitude(deg) Longitude(deg) Height(m) diff_N(mm/yr) diff_E(mm/yr) diff_U(mm/yr)
0ERS 13.8 17.5 10.7 4.94 4.94 4.93 13.7 17.4 10.4 63.858 -339.664 79.9 0.1 0.1 0.3
0ESK 14.1 18.2 5.9 13.06 15.12 15.12 14.0 18.2 5.8 59.368 -343.489 60.7 0.1 0.0 0.1
0ESL 15.2 18.0 1.0 5.58 5.58 5.58 15.1 17.8 1.2 55.839 -346.690 118.7 0.1 0.2 -0.2
0ESN 14.1 18.4 5.0 10.37 10.37 10.37 14.1 18.4 5.0 58.587 -343.904 69.4 -0.0 0.0 -0.0
0FAF 14.4 17.1 10.0 12.77 12.77 7.38 14.4 17.0 9.8 65.125 -339.213 208.6 0.0 0.1 0.2
0FAL 14.6 17.3 4.4 20.27 20.26 22.97 14.6 17.4 4.7 58.170 -346.444 260.0 -0.0 -0.1 -0.3
0FAR 13.9 19.0 3.2 19.35 19.35 19.35 13.8 19.0 3.1 57.919 -340.861 35.4 0.1 0.0 0.1
0FBG 15.1 16.8 2.1 5.97 8.36 8.36 15.0 16.9 2.0 56.904 -347.510 63.7 0.1 -0.1 0.1
0FIL 14.3 17.6 6.8 8.94 8.99 9.00 14.3 17.5 6.8 59.715 -345.838 189.9 0.0 0.1 -0.0
0FIN 14.4 16.9 8.5 10.39 10.39 10.39 14.6 16.8 8.3 61.052 -344.428 473.1 -0.2 0.1 0.2
0FLR 14.4 17.7 10.1 4.45 4.45 4.45 14.4 17.6 10.0 63.984 -339.764 104.1 0.0 0.1 0.1
0FLU 14.5 16.9 7.2 13.42 13.43 13.43 14.5 16.9 7.4 60.624 -344.377 162.2 0.0 -0.0 -0.2
0FRA 14.5 17.1 4.3 4.74 4.74 4.74 14.5 17.0 4.1 58.184 -347.860 120.6 -0.0 0.1 0.2
0FRB 15.1 17.5 7.3 11.75 11.75 11.75 14.9 17.4 7.2 60.141 -345.629 346.7 0.2 0.1 0.1
0FRE 14.6 16.4 9.9 17.58 17.58 17.58 14.4 16.3 9.9 64.077 -341.597 338.1 0.2 0.1 0.0
0FRI 14.7 17.2 9.2 11.73 11.73 11.73 14.6 17.1 9.4 61.897 -343.445 94.1 0.1 0.1 -0.2
0FRL 15.2 17.0 3.2 5.81 14.71 14.71 15.1 17.3 3.3 57.650 -348.088 112.7 0.1 -0.3 -0.1
0FRO 14.4 17.9 6.5 13.75 13.75 13.74 14.4 17.9 6.2 59.467 -344.637 83.0 0.0 0.0 0.3
0FUN 14.5 14.7 6.9 10.85 18.02 18.02 14.0 14.7 6.9 62.519 -347.399 633.1 0.5 -0.0 0.0
0FUR 14.9 16.9 7.7 19.74 14.50 19.74 14.7 16.9 7.8 61.168 -344.858 250.4 0.2 0.0 -0.1
0GAD 15.4 15.1 7.6 18.02 18.02 18.02 15.3 15.1 7.4 64.504 -345.861 381.2 0.1 0.0 0.2
0GAL 14.8 16.2 9.1 17.79 17.79 17.79 14.8 16.1 9.1 62.914 -344.764 344.6 -0.0 0.1 -0.0
0GAM 14.0 18.5 5.2 10.11 10.11 10.11 14.0 18.4 5.2 58.755 -343.385 76.3 0.0 0.1 -0.0
0GEB 14.9 16.6 4.3 12.46 12.46 12.46 14.9 16.6 3.9 58.692 -348.739 54.3 0.0 0.0 0.4
